T,0.01,0.025,0.05,0.075,0.1,0.25,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.75,2,2.5,3,4,5,7.5,10
1.5,0.0008,0.0019,0.0039,0.0058,0.0078,0.0198,0.0409,0.0497,0.0586,0.0677,0.077,0.0864,0.0959,0.1055,0.1152,0.1248,0.1345,0.1582,0.1806,0.2186,0.2433,0.2525,0.2309,0.1584,0.1058
1.6,0.0008,0.002,0.004,0.006,0.008,0.0204,0.0415,0.0501,0.0589,0.0677,0.0766,0.0855,0.0945,0.1035,0.1124,0.1214,0.1303,0.1521,0.1729,0.2098,0.2381,0.2654,0.2631,0.2147,0.1673
1.7,0.0008,0.002,0.004,0.0061,0.0081,0.0204,0.0413,0.0497,0.0582,0.0667,0.0752,0.0838,0.0923,0.1008,0.1092,0.1176,0.1259,0.1463,0.1658,0.2013,0.2305,0.2672,0.2788,0.2556,0.2179
1.8,0.0008,0.002,0.004,0.006,0.0081,0.0202,0.0406,0.0488,0.057,0.0652,0.0734,0.0816,0.0897,0.0978,0.1058,0.1137,0.1216,0.1408,0.1593,0.1932,0.2224,0.2639,0.2846,0.2834,0.2576
1.9,0.0008,0.002,0.004,0.0059,0.0079,0.0199,0.0397,0.0477,0.0556,0.0635,0.0714,0.0792,0.087,0.0947,0.1023,0.1099,0.1173,0.1356,0.1532,0.1858,0.2144,0.2582,0.2848,0.3013,0.2876
2,0.0008,0.0019,0.0039,0.0058,0.0078,0.0194,0.0387,0.0464,0.0541,0.0617,0.0692,0.0767,0.0842,0.0916,0.0989,0.1061,0.1133,0.1307,0.1476,0.1789,0.2069,0.2517,0.282,0.312,0.3096
2.25,0.0007,0.0018,0.0036,0.0055,0.0073,0.0181,0.036,0.0431,0.0501,0.057,0.064,0.0708,0.0776,0.0843,0.0909,0.0975,0.1039,0.1198,0.135,0.1638,0.1901,0.2346,0.2691,0.3198,0.3392
2.5,0.0007,0.0017,0.0034,0.0051,0.0068,0.0168,0.0334,0.0399,0.0464,0.0528,0.0591,0.0654,0.0716,0.0778,0.0839,0.0899,0.0958,0.1104,0.1245,0.1511,0.1757,0.2189,0.2542,0.3146,0.3475
2.75,0.0006,0.0016,0.0032,0.0047,0.0063,0.0156,0.031,0.037,0.043,0.049,0.0548,0.0607,0.0664,0.0721,0.0778,0.0833,0.0888,0.1023,0.1154,0.1403,0.1635,0.2049,0.2399,0.3045,0.3454
3,0.0006,0.0015,0.0029,0.0044,0.0059,0.0146,0.0289,0.0345,0.0401,0.0456,0.0511,0.0565,0.0619,0.0672,0.0724,0.0776,0.0828,0.0954,0.1076,0.131,0.1529,0.1925,0.2268,0.293,0.3385
3.5,0.0005,0.0013,0.0026,0.0039,0.0052,0.0128,0.0254,0.0303,0.0352,0.0401,0.0449,0.0497,0.0544,0.0591,0.0637,0.0683,0.0728,0.084,0.0949,0.1158,0.1356,0.1719,0.2042,0.27,0.3194
4,0.0005,0.0012,0.0023,0.0034,0.0046,0.0114,0.0226,0.027,0.0314,0.0357,0.04,0.0443,0.0485,0.0527,0.0569,0.061,0.0651,0.0751,0.0849,0.1038,0.1219,0.1554,0.1857,0.2493,0.2994
5,0.0004,0.0009,0.0019,0.0028,0.0038,0.0094,0.0186,0.0222,0.0258,0.0294,0.0329,0.0365,0.04,0.0434,0.0469,0.0503,0.0537,0.0621,0.0703,0.0863,0.1016,0.1306,0.1573,0.2155,0.2637
